table_name,column_name,data_type
allergies,START,VARCHAR
allergies,STOP,VARCHAR
allergies,PATIENT,VARCHAR
allergies,ENCOUNTER,VARCHAR
allergies,CODE,VARCHAR
allergies,SYSTEM,VARCHAR
allergies,DESCRIPTION,VARCHAR
allergies,TYPE,VARCHAR
allergies,CATEGORY,VARCHAR
allergies,REACTION1,VARCHAR
allergies,DESCRIPTION1,VARCHAR
allergies,SEVERITY1,VARCHAR
allergies,REACTION2,VARCHAR
allergies,DESCRIPTION2,VARCHAR
allergies,SEVERITY2,VARCHAR
careplans,Id,VARCHAR
careplans,START,VARCHAR
careplans,STOP,VARCHAR
careplans,PATIENT,VARCHAR
careplans,ENCOUNTER,VARCHAR
careplans,CODE,VARCHAR
careplans,DESCRIPTION,VARCHAR
careplans,REASONCODE,VARCHAR
careplans,REASONDESCRIPTION,VARCHAR
claims,Id,VARCHAR
claims,PATIENTID,VARCHAR
claims,PROVIDERID,VARCHAR
claims,PRIMARYPATIENTINSURANCEID,VARCHAR
claims,SECONDARYPATIENTINSURANCEID,VARCHAR
claims,DEPARTMENTID,VARCHAR
claims,PATIENTDEPARTMENTID,VARCHAR
claims,DIAGNOSIS1,VARCHAR
claims,DIAGNOSIS2,VARCHAR
claims,DIAGNOSIS3,VARCHAR
claims,DIAGNOSIS4,VARCHAR
claims,DIAGNOSIS5,VARCHAR
claims,DIAGNOSIS6,VARCHAR
claims,DIAGNOSIS7,VARCHAR
claims,DIAGNOSIS8,VARCHAR
claims,REFERRINGPROVIDERID,VARCHAR
claims,APPOINTMENTID,VARCHAR
claims,CURRENTILLNESSDATE,VARCHAR
claims,SERVICEDATE,VARCHAR
claims,SUPERVISINGPROVIDERID,VARCHAR
claims,STATUS1,VARCHAR
claims,STATUS2,VARCHAR
claims,STATUSP,VARCHAR
claims,OUTSTANDING1,VARCHAR
claims,OUTSTANDING2,VARCHAR
claims,OUTSTANDINGP,VARCHAR
claims,LASTBILLEDDATE1,VARCHAR
claims,LASTBILLEDDATE2,VARCHAR
claims,LASTBILLEDDATEP,VARCHAR
claims,HEALTHCARECLAIMTYPEID1,VARCHAR
claims,HEALTHCARECLAIMTYPEID2,VARCHAR
